endTime,artistName,trackName,msPlayed
2024-05-29 09:32,Anurag Saikia,Aise Kyun,1160
2024-05-29 09:32,elijah woods,"24/7, 365",673
2024-05-29 09:32,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],882
2024-05-29 09:32,Rishab Rikhiram Sharma,Tilak Kamod,812
2024-05-29 09:32,Pritam,Tu Hi Haqeeqat,835
2024-05-29 09:32,Cody Francis,Feel So Lucky,7098
2024-05-29 09:32,Chirag Katti,Inspiration,789
2024-05-29 09:32,Anoop Shankar,Chandra Chooda - Keerthanam,766
2024-05-29 09:32,A.R. Rahman,Kun Faya Kun,673
2024-05-29 09:32,Javed-Mohsin,Pal,1091
2024-05-29 09:32,Parul Mishra,"Mohbhang (From ""Aspirants"") - Extended",1021
2024-05-29 09:32,Rahat Fateh Ali Khan,Mann Ki Lagan,417
2024-05-29 09:32,Hiphop Tamizha,"Vilambara Idaiveli - From ""Imaikkaa Nodigal""",835
2024-05-29 09:32,Malabar Gold & Diamonds,Nrityanjali,952
2024-05-29 09:32,Pritam,Hardum Humdum,812
2024-05-29 09:32,Yours lo-fi,Mann Mohi Gayu Lo-Fi Remake,882
2024-05-29 09:32,Sunidhi Chauhan,Lae Dooba,743
2024-05-29 09:32,ANDREAH,Best Friend,766
2024-05-29 09:32,Mitraz,Akhiyaan,743
2024-05-29 09:34,Lakhinandan Lahon,Sri Krishna Flute,154816
2024-05-29 09:38,Arijit Singh,"Mere Yaaraa & Tu Jo Mila (From ""Love In Lo-Fi Volume 1"")",210336
2024-05-29 09:39,Kelsea Ballerini,I Quit Drinking,41403
2024-05-29 09:39,Arijit Singh,"Mere Yaaraa & Tu Jo Mila (From ""Love In Lo-Fi Volume 1"")",650
2024-05-29 09:41,Kelsea Ballerini,I Quit Drinking,158744
2024-05-29 09:44,Arijit Singh,Har Har Gange,182571
2024-05-29 09:46,Parul Mishra,Mohbhang,106000
2024-05-29 09:47,Chintan Trivedi,Jai Aadhyashakti,998
2024-05-29 09:47,Rishab Rikhiram Sharma,Kautilya (The Echo Project),626
2024-05-29 09:47,Maanya Arora,Aarti Kunj Bihari Ki,766
2024-05-29 09:47,Armonian,Agajanana Padmarkam,673
2024-05-29 09:47,Aditya A,Heeriye,998
2024-05-29 09:47,Rahat Fateh Ali Khan,Tum Jo Aaye & Tere Bin Nahin Lagda,766
2024-05-29 09:47,Shilpa Rao,Tose Naina Lage,27913
2024-05-29 09:47,AP Dhillon,With You,2159
2024-05-29 09:47,Rajat Nagpal,Main Royaan,603
2024-05-29 09:50,Rishab Rikhiram Sharma,Kautilya (The Echo Project),191063
2024-05-29 11:01,Twin Strings,Dhalti Rahe - Stripped.,1253
2024-05-29 11:01,Shankar-Ehsaan-Loy,O Rangrez,766
2024-05-29 11:01,Armaan Malik,"Tere Mere (From ""Chef"")",1068
2024-05-29 11:01,Shafqat Amanat Ali,Darmiyaan,766
2024-05-29 11:01,When Chai Met Toast,Tere Aane Se,139
2024-05-29 11:01,Prateek Kuhad,Tere Hi Hum,3529
2024-05-29 11:01,Anand Bhaskar Collective,Malhar,534
2024-05-29 11:01,Shreya Ghoshal,Yeh Aaina,1462
2024-05-29 11:01,Mohit Chauhan,Masakali,534
2024-05-29 11:01,Kanika,Runak Jhunak,743
2024-05-29 11:01,Samyak Prasana,Aahatein,510
2024-05-29 11:01,Aditya A,Heeriye,170157
